Algorithm Name,Type,Graph Name,Average Time,Average Memory
VectorVectorContainer,Sequential,soc-livejournal.mtx,6.91445,382.346
VectorSetContainer,Sequential,soc-livejournal.mtx,10.1391,1431.77
VectorUnorderedSetContainer,Sequential,soc-livejournal.mtx,11.529,1371.4
MapVectorContainer,Sequential,soc-livejournal.mtx,18.8171,387.486
MapSetContainer,Sequential,soc-livejournal.mtx,22.1926,1400.76
MapUnorderedSetContainer,Sequential,soc-livejournal.mtx,22.8796,1301.12
UnorderedMapVectorContainer,Sequential,soc-livejournal.mtx,8.79423,341.595
UnorderedMapSetContainer,Sequential,soc-livejournal.mtx,11.833,1354.87
UnorderedMapUnorderedSetContainer,Sequential,soc-livejournal.mtx,12.485,1255.22
VectorVectorContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,27.3047,986.398
VectorSetContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,75.1508,6560.45
VectorUnorderedSetContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,63.0187,4621.94
MapVectorContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,85.2415,968.205
MapSetContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,131.025,6496.11
MapUnorderedSetContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,122.17,4542.21
UnorderedMapVectorContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,35.9225,965.1
UnorderedMapSetContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,79.1857,6490.37
UnorderedMapUnorderedSetContainer,Sequential,bn-human-BNU_1_0025871_session_1-bg_170M.edges,70.8942,4536.48
VectorVectorContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,15.828,551.027
VectorSetContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,35.8152,3580.49
VectorUnorderedSetContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,33.9036,2540.07
MapVectorContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,47.6589,557.181
MapSetContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,68.846,3556.67
MapUnorderedSetContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,66.5691,2506.27
UnorderedMapVectorContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,20.1372,546.548
UnorderedMapSetContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,40.1932,3546.04
UnorderedMapUnorderedSetContainer,Sequential,bn-human-Jung2015_M87114342_90M.edges,38.4084,2495.64
VectorVectorContainer,Sequential,bn-human-BNU_1_0025876_session_2-bg_140M.edges,23.0811,850.182
VectorSetContainer,Sequential,bn-human-BNU_1_0025876_session_2-bg_140M.edges,58.8296,5479.08
VectorUnorderedSetContainer,Sequential,bn-human-BNU_1_0025876_session_2-bg_140M.edges,51.9722,3882.7
MapVectorContainer,Sequential,bn-human-BNU_1_0025876_session_2-bg_140M.edges,70.7612,815.72
MapSetContainer,Sequential,bn-human-BNU_1_0025876_session_2-bg_140M.edges,108.236,5399.29
MapUnorderedSetContainer,Sequential,bn-human-BNU_1_0025876_session_2-bg_140M.edges,100.65,3784.8
UnorderedMapVectorContainer,Sequential,bn-human-BNU_1_0025876_session_2-bg_140M.edges,29.8583,809.407
UnorderedMapSetContainer,Sequential,bn-human-BNU_1_0025876_session_2-bg_140M.edges,65.2645,5392.98
UnorderedMapUnorderedSetContainer,Sequential,bn-human-BNU_1_0025876_session_2-bg_140M.edges,58.7578,3778.48
VectorVectorContainer,Sequential,rgg_n_2_22_s0_30M.edges,7.61014,252.431
VectorSetContainer,Sequential,rgg_n_2_22_s0_30M.edges,9.66044,1350.13
VectorUnorderedSetContainer,Sequential,rgg_n_2_22_s0_30M.edges,10.4203,1111.42
MapVectorContainer,Sequential,rgg_n_2_22_s0_30M.edges,20.8088,412.206
MapSetContainer,Sequential,rgg_n_2_22_s0_30M.edges,23.4624,1509.81
MapUnorderedSetContainer,Sequential,rgg_n_2_22_s0_30M.edges,24.2417,1271.08
UnorderedMapVectorContainer,Sequential,rgg_n_2_22_s0_30M.edges,10.2375,361.815
UnorderedMapSetContainer,Sequential,rgg_n_2_22_s0_30M.edges,12.4259,1459.42
UnorderedMapUnorderedSetContainer,Sequential,rgg_n_2_22_s0_30M.edges,13.1558,1220.68
VectorVectorContainer,Sequential,bn-7k-50k.edges,0.0139889,0.439075
VectorSetContainer,Sequential,bn-7k-50k.edges,0.0159881,2.26611
VectorUnorderedSetContainer,Sequential,bn-7k-50k.edges,0.0179351,2.12526
MapVectorContainer,Sequential,bn-7k-50k.edges,0.0231216,0.699619
MapSetContainer,Sequential,bn-7k-50k.edges,0.0285126,2.50972
MapUnorderedSetContainer,Sequential,bn-7k-50k.edges,0.0298491,2.36322
UnorderedMapVectorContainer,Sequential,bn-7k-50k.edges,0.0148014,0.611507
UnorderedMapSetContainer,Sequential,bn-7k-50k.edges,0.0199474,2.42161
UnorderedMapUnorderedSetContainer,Sequential,bn-7k-50k.edges,0.0210799,2.27511
VectorVectorContainer,Sequential,soc-orkut-dir_120M.edges,21.1627,709.052
VectorSetContainer,Sequential,soc-orkut-dir_120M.edges,44.4943,4614.26
VectorUnorderedSetContainer,Sequential,soc-orkut-dir_120M.edges,43.6239,3314.24
MapVectorContainer,Sequential,soc-orkut-dir_120M.edges,63.9241,803.325
MapSetContainer,Sequential,soc-orkut-dir_120M.edges,88.8664,4698.88
MapUnorderedSetContainer,Sequential,soc-orkut-dir_120M.edges,86.9619,3395.65
UnorderedMapVectorContainer,Sequential,soc-orkut-dir_120M.edges,27.3124,763.393
UnorderedMapSetContainer,Sequential,soc-orkut-dir_120M.edges,50.4394,4658.95
UnorderedMapUnorderedSetContainer,Sequential,soc-orkut-dir_120M.edges,49.5784,3355.72
VectorVectorContainer,Sequential,bn-human-Jung2015_M87125334_40M.edges,7.26461,321.474
VectorSetContainer,Sequential,bn-human-Jung2015_M87125334_40M.edges,15.3198,1692.25
VectorUnorderedSetContainer,Sequential,bn-human-Jung2015_M87125334_40M.edges,15.1421,1286.55
MapVectorContainer,Sequential,bn-human-Jung2015_M87125334_40M.edges,20.995,265.064
MapSetContainer,Sequential,bn-human-Jung2015_M87125334_40M.edges,29.4694,1597.96
MapUnorderedSetContainer,Sequential,bn-human-Jung2015_M87125334_40M.edges,29.3926,1142.13
UnorderedMapVectorContainer,Sequential,bn-human-Jung2015_M87125334_40M.edges,9.36825,260.901
UnorderedMapSetContainer,Sequential,bn-human-Jung2015_M87125334_40M.edges,17.2728,1592.03
UnorderedMapUnorderedSetContainer,Sequential,bn-human-Jung2015_M87125334_40M.edges,17.0643,1136.19
VectorVectorContainer,Sequential,socfb-Michigan23.mtx,0.205607,7.31623
VectorSetContainer,Sequential,socfb-Michigan23.mtx,0.423885,46.7119
VectorUnorderedSetContainer,Sequential,socfb-Michigan23.mtx,0.424449,33.6487
MapVectorContainer,Sequential,socfb-Michigan23.mtx,0.506653,8.14507
MapSetContainer,Sequential,socfb-Michigan23.mtx,0.747009,47.2792
MapUnorderedSetContainer,Sequential,socfb-Michigan23.mtx,0.750244,34.1289
UnorderedMapVectorContainer,Sequential,socfb-Michigan23.mtx,0.266978,7.81165
UnorderedMapSetContainer,Sequential,socfb-Michigan23.mtx,0.485827,46.9458
UnorderedMapUnorderedSetContainer,Sequential,socfb-Michigan23.mtx,0.492902,33.7955
VectorVectorContainer,Sequential,bn-human-Jung2015_M87101705_200M.edges,32.9851,1154.41
VectorSetContainer,Sequential,bn-human-Jung2015_M87101705_200M.edges,88.3988,7775.17
VectorUnorderedSetContainer,Sequential,bn-human-Jung2015_M87101705_200M.edges,77.4359,5457.29
MapVectorContainer,Sequential,bn-human-Jung2015_M87101705_200M.edges,101.833,1151.05
MapSetContainer,Sequential,bn-human-Jung2015_M87101705_200M.edges,159.757,7739.27
MapUnorderedSetContainer,Sequential,bn-human-Jung2015_M87101705_200M.edges,148.28,5410.54
UnorderedMapVectorContainer,Sequential,bn-human-Jung2015_M87101705_200M.edges,45.5743,1144.59
UnorderedMapSetContainer,Sequential,bn-human-Jung2015_M87101705_200M.edges,97.5722,7732.81
UnorderedMapUnorderedSetContainer,Sequential,bn-human-Jung2015_M87101705_200M.edges,87.7246,5404.08
VectorVectorContainer,Sequential,bn-human-Jung2015_M87116523_80M.edges,12.3322,441.865
VectorSetContainer,Sequential,bn-human-Jung2015_M87116523_80M.edges,33.2969,2998.05
VectorUnorderedSetContainer,Sequential,bn-human-Jung2015_M87116523_80M.edges,28.571,2098.95
MapVectorContainer,Sequential,bn-human-Jung2015_M87116523_80M.edges,36.3896,439.634
MapSetContainer,Sequential,bn-human-Jung2015_M87116523_80M.edges,58.2414,2985.27
MapUnorderedSetContainer,Sequential,bn-human-Jung2015_M87116523_80M.edges,53.3222,2082.65
UnorderedMapVectorContainer,Sequential,bn-human-Jung2015_M87116523_80M.edges,16.1057,437.319
UnorderedMapSetContainer,Sequential,bn-human-Jung2015_M87116523_80M.edges,36.7681,2982.95
UnorderedMapUnorderedSetContainer,Sequential,bn-human-Jung2015_M87116523_80M.edges,32.3621,2080.33
VectorVectorContainer,Sequential,bn-human-BNU_1_0025889_session_2_130M.edges,21.7031,839.722
VectorSetContainer,Sequential,bn-human-BNU_1_0025889_session_2_130M.edges,54.9862,5255.5
VectorUnorderedSetContainer,Sequential,bn-human-BNU_1_0025889_session_2_130M.edges,49.1559,3770.35
MapVectorContainer,Sequential,bn-human-BNU_1_0025889_session_2_130M.edges,66.5868,766.629
MapSetContainer,Sequential,bn-human-BNU_1_0025889_session_2_130M.edges,101.398,5093.31
MapUnorderedSetContainer,Sequential,bn-human-BNU_1_0025889_session_2_130M.edges,96.7917,3569.43
UnorderedMapVectorContainer,Sequential,bn-human-BNU_1_0025889_session_2_130M.edges,28.4818,765.458
UnorderedMapSetContainer,Sequential,bn-human-BNU_1_0025889_session_2_130M.edges,61.0838,5087.8
UnorderedMapUnorderedSetContainer,Sequential,bn-human-BNU_1_0025889_session_2_130M.edges,55.528,3564.85
VectorVectorContainer,Sequential,bn-human-Jung2015_M87107781_70M.edges,12.3051,460.648
VectorSetContainer,Sequential,bn-human-Jung2015_M87107781_70M.edges,28.4448,2893.85
VectorUnorderedSetContainer,Sequential,bn-human-Jung2015_M87107781_70M.edges,26.9507,2075.19
MapVectorContainer,Sequential,bn-human-Jung2015_M87107781_70M.edges,36.9076,446.084
MapSetContainer,Sequential,bn-human-Jung2015_M87107781_70M.edges,53.7401,2834.05
MapUnorderedSetContainer,Sequential,bn-human-Jung2015_M87107781_70M.edges,51.8588,2000.31
UnorderedMapVectorContainer,Sequential,bn-human-Jung2015_M87107781_70M.edges,15.973,438.72
UnorderedMapSetContainer,Sequential,bn-human-Jung2015_M87107781_70M.edges,32.0742,2826.68
UnorderedMapUnorderedSetContainer,Sequential,bn-human-Jung2015_M87107781_70M.edges,30.5484,1992.95
VectorVectorContainer,Sequential,bn-human-Jung2015_M87113878.edges,44.4884,1507.72
